Time [s]	Current [A]	Voltage [V]	
0.867146	1.950000	0.000507
1.116803	3.010000	0.000704
1.366983	3.480000	0.001027
1.616982	5.010000	0.001220
1.867019	5.110000	0.001539
2.117126	7.010000	0.001764
2.383379	8.020000	0.002072
2.632806	8.150000	0.002077
2.882864	10.010000	0.002340
3.133081	10.730000	0.002594
3.394546	12.020000	0.002861
3.643884	12.140000	0.003304
3.894192	14.020000	0.003498
4.144273	14.140000	0.003874
4.394289	16.020000	0.004158
4.643938	17.020000	0.004383
4.908252	18.010000	0.004679
5.157948	19.010000	0.004681
5.407965	19.140000	0.004948
5.657975	21.010000	0.005211
5.908322	21.130000	0.005582
6.158021	23.020000	0.005938
6.408328	23.140000	0.006251
6.658051	25.020000	0.006480
6.923223	26.010000	0.006528
7.181367	26.140000	0.006771
7.431080	28.020000	0.007031
7.681420	28.130000	0.007473
7.931116	30.020000	0.007758
8.181401	30.140000	0.008074
8.431170	32.010000	0.008337
8.695998	33.020000	0.008601
8.964398	33.730000	0.008601
9.222870	35.010000	0.008862
9.472195	35.130000	0.009186
9.723773	37.020000	0.009512
9.972233	37.130000	0.009903
10.222254	39.020000	0.010170
10.472267	40.010000	0.010376
10.737042	40.710000	0.010430
10.996358	42.020000	0.010692
11.246527	42.090000	0.010959
11.496326	44.020000	0.011363
11.746639	44.100000	0.011683
11.996356	46.020000	0.011996
12.246373	47.020000	0.012217
12.509513	48.020000	0.012522
12.759383	49.030000	0.012522
13.010225	49.110000	0.012786
13.259415	51.030000	0.013074
13.509710	51.090000	0.013381
13.759452	53.020000	0.013730
14.009472	53.100000	0.014073
14.258797	55.020000	0.014250
14.524873	56.020000	0.014364
14.782388	56.100000	0.014617
15.031516	58.020000	0.014879
15.281827	58.100000	0.015213
15.531556	60.020000	0.015592
15.781906	60.110000	0.015921
16.031588	62.020000	0.016118
16.296673	63.020000	0.016191
16.556119	63.120000	0.016452
16.805836	65.020000	0.016716
17.055974	65.110000	0.017127
17.305664	67.020000	0.017434
17.555678	67.120000	0.017764
17.805708	69.020000	0.017973
18.070016	70.010000	0.018029
18.327398	70.110000	0.018289
18.576737	72.020000	0.018549
18.826921	72.110000	0.018893
19.076821	74.020000	0.019261
19.326781	74.110000	0.019600
19.576790	76.030000	0.019788
19.841873	77.020000	0.020127
20.091812	77.120000	0.020127
20.341826	79.030000	0.020389
20.591844	79.130000	0.020653
20.841871	81.020000	0.021068
21.091894	81.110000	0.021368
21.342246	83.030000	0.021702
21.591906	84.030000	0.021954
21.856351	84.690000	0.021969
22.114623	86.030000	0.022232
22.363944	86.110000	0.022524
22.614184	88.020000	0.022820
22.863989	88.120000	0.023266
23.114004	90.030000	0.023545
23.364239	91.020000	0.023793
23.629987	91.680000	0.023815
23.887364	93.040000	0.024077
24.137039	93.120000	0.024341
24.387317	95.030000	0.024689
24.637081	95.110000	0.025107
24.887094	97.030000	0.025391
25.137114	98.030000	0.025635
25.401662	98.690000	0.025662
25.660137	100.030000	0.025922
