Time [s]	Current [A]	Voltage [V]	
0.824803	0.000000	0.000000
1.099950	1.210000	0.000099
1.349464	1.470000	0.000122
1.599158	2.010000	0.000132
1.849425	2.030000	0.000175
2.099601	2.810000	0.000227
2.349235	2.830000	0.000263
2.599222	3.610000	0.000293
2.867245	4.010000	0.000305
3.125333	4.060000	0.000338
3.375249	4.810000	0.000374
3.625612	4.840000	0.000431
3.875592	5.610000	0.000469
4.125324	5.650000	0.000508
4.375338	6.410000	0.000536
4.639765	6.810000	0.000544
4.897960	6.850000	0.000577
5.147356	7.620000	0.000612
5.397651	7.660000	0.000668
5.647408	8.420000	0.000714
5.897438	8.480000	0.000752
6.147430	9.210000	0.000786
6.413371	9.610000	0.000786
6.671716	9.660000	0.000818
6.920463	10.410000	0.000851
7.170759	10.460000	0.000900
7.420501	11.210000	0.000946
7.670864	11.260000	0.000988
7.920530	12.010000	0.001022
8.185456	12.410000	0.001019
8.443484	12.460000	0.001049
8.692556	13.220000	0.001097
8.942846	13.260000	0.001147
9.192651	14.020000	0.001191
9.442616	14.060000	0.001226
9.692629	14.820000	0.001259
9.958103	15.220000	0.001265
10.216092	15.270000	0.001298
10.465655	16.030000	0.001330
10.715947	16.060000	0.001379
10.965700	16.820000	0.001430
11.215715	16.870000	0.001466
11.465730	17.610000	0.001500
11.731706	18.020000	0.001503
11.989705	18.060000	0.001532
12.238760	18.820000	0.001581
12.489099	18.860000	0.001616
12.738804	19.610000	0.001673
12.988832	19.660000	0.001707
13.238895	20.410000	0.001739
13.504312	20.810000	0.001743
13.762214	20.850000	0.001773
14.011860	21.610000	0.001806
14.262130	21.660000	0.001865
14.511916	22.420000	0.001908
14.761951	22.460000	0.001943
15.011934	23.220000	0.001977
15.276478	23.620000	0.001982
15.534486	23.670000	0.002015
15.783976	24.420000	0.002048
16.034274	24.460000	0.002100
16.284019	25.220000	0.002147
16.534034	25.270000	0.002184
16.784323	26.020000	0.002215
17.049959	26.410000	0.002220
17.308236	26.460000	0.002250
17.558068	27.210000	0.002287
17.808531	27.250000	0.002339
18.058106	28.020000	0.002384
18.308457	28.060000	0.002424
18.558135	28.820000	0.002457
18.821850	29.220000	0.002455
19.081200	29.260000	0.002491
19.331168	30.030000	0.002537
19.581612	30.070000	0.002578
19.831204	30.810000	0.002624
20.081221	30.870000	0.002662
20.331234	31.620000	0.002692
20.594988	32.020000	0.002700
20.853431	32.050000	0.002726
21.103265	32.820000	0.002766
21.353535	32.860000	0.002814
21.603325	33.620000	0.002864
21.853333	33.670000	0.002899
22.103351	34.410000	0.002937
22.367492	34.810000	0.002941
22.626126	34.850000	0.002965
22.875383	35.610000	0.003002
23.125383	35.660000	0.003038
23.378990	36.420000	0.003108
23.628420	36.450000	0.003107
23.878694	37.220000	0.003157
24.128670	37.620000	0.003209
24.377934	37.660000	0.003242
24.627504	38.420000	0.003274
24.891443	38.820000	0.003276
25.150812	38.860000	0.003310
25.400512	39.620000	0.003348
25.650796	39.660000	0.003397
25.900554	40.420000	0.003449
26.150612	40.460000	0.003481
26.400588	41.210000	0.003515
26.665092	41.620000	0.003549
26.932637	42.020000	0.003582
27.200997	42.420000	0.003593
27.459351	42.450000	0.003617
27.708644	43.220000	0.003651
27.958957	43.250000	0.003698
28.208686	44.020000	0.003745
28.458704	44.260000	0.003788
28.708715	44.820000	0.003797
28.958728	45.070000	0.003845
29.209121	45.620000	0.003857
29.458987	45.650000	0.003898
29.708770	46.420000	0.003953
29.958784	46.450000	0.003960
30.209016	47.220000	0.003998
30.458804	47.260000	0.004027
30.708835	47.660000	0.004097
30.958849	48.420000	0.004116
31.228449	48.820000	0.004163
31.477866	49.220000	0.004193
31.727894	49.260000	0.004229
31.977907	50.030000	0.004266
32.227974	50.430000	0.004300
32.491366	50.670000	0.004303
32.748691	51.230000	0.004335
32.997959	51.250000	0.004369
33.247983	52.020000	0.004414
33.501620	52.050000	0.004437
33.751213	52.820000	0.004472
34.001330	52.840000	0.004527
34.251553	53.610000	0.004573
34.501048	53.650000	0.004609
34.751078	54.420000	0.004635
35.015617	54.820000	0.004643
35.273086	54.840000	0.004677
35.523091	55.610000	0.004716
35.773825	55.640000	0.004765
36.023199	56.410000	0.004805
36.273146	56.660000	0.004847
36.523161	57.220000	0.004863
36.777968	57.250000	0.004881
37.027185	58.020000	0.004924
37.277483	58.050000	0.004962
37.527244	58.820000	0.005013
