Time [s]	Current [A]	Voltage [V]	
1.072148	0.000000	0.000001
1.323967	0.000000	0.000008
1.573795	0.000000	0.000039
1.824223	0.000000	0.000045
2.074177	1.210000	0.000057
2.324145	1.220000	0.000069
2.573876	1.610000	0.000077
2.823863	1.800000	0.000086
3.081849	2.010000	0.000098
3.331890	2.210000	0.000098
3.581904	2.220000	0.000108
3.831917	2.610000	0.000121
4.082217	2.620000	0.000132
4.332247	3.010000	0.000145
4.582290	3.020000	0.000157
4.831001	3.410000	0.000165
5.096341	3.620000	0.000178
5.346011	3.630000	0.000177
5.596038	4.010000	0.000186
5.846034	4.030000	0.000197
6.096066	4.420000	0.000214
6.346407	4.430000	0.000228
6.596464	4.800000	0.000237
6.846108	5.010000	0.000247
7.110844	5.210000	0.000257
7.360122	5.410000	0.000257
7.610314	5.530000	0.000276
7.860147	5.810000	0.000277
8.110173	5.830000	0.000293
8.360518	6.210000	0.000308
8.610202	6.230000	0.000317
8.860219	6.610000	0.000327
9.125849	6.810000	0.000326
9.384063	6.830000	0.000336
9.633248	7.210000	0.000347
9.883551	7.230000	0.000362
10.133292	7.620000	0.000377
10.383597	7.630000	0.000386
10.633331	8.020000	0.000397
10.897490	8.220000	0.000407
11.147348	8.340000	0.000414
11.397352	8.610000	0.000416
11.647362	8.630000	0.000427
11.897399	9.010000	0.000440
12.147707	9.040000	0.000456
12.397730	9.410000	0.000466
12.647438	9.620000	0.000474
12.897447	9.800000	0.000487
13.147463	9.830000	0.000499
13.397482	10.220000	0.000510
13.647478	10.210000	0.000514
13.897509	10.610000	0.000527
14.147524	10.740000	0.000532
14.397712	11.020000	0.000542
14.647858	11.030000	0.000558
14.897573	11.410000	0.000561
15.147569	11.440000	0.000571
15.397594	11.810000	0.000587
15.647591	11.840000	0.000587
15.897799	12.220000	0.000600
16.147679	12.230000	0.000615
16.397662	12.620000	0.000625
16.647666	12.820000	0.000634
16.913344	13.020000	0.000648
17.162681	13.220000	0.000644
17.412846	13.240000	0.000652
17.662708	13.620000	0.000666
17.912989	13.640000	0.000687
18.162751	14.020000	0.000696
18.412788	14.040000	0.000701
18.662794	14.420000	0.000720
18.928841	14.620000	0.000719
19.185834	14.640000	0.000728
19.435810	15.020000	0.000736
19.686111	15.040000	0.000757
19.936119	15.410000	0.000768
20.185866	15.440000	0.000776
20.435950	15.820000	0.000788
20.701294	16.010000	0.000783
20.958327	16.040000	0.000793
21.207913	16.420000	0.000805
21.458195	16.440000	0.000823
21.707951	16.820000	0.000835
21.957968	16.840000	0.000848
22.207981	17.210000	0.000854
22.472822	17.410000	0.000852
22.731983	17.430000	0.000867
22.982256	17.810000	0.000877
23.232330	17.830000	0.000892
23.482054	18.210000	0.000906
23.732345	18.240000	0.000912
23.982085	18.610000	0.000923
24.245551	18.810000	0.000926
24.504839	18.840000	0.000934
24.754130	19.210000	0.000944
25.004401	19.230000	0.000960
25.254173	19.600000	0.000976
25.504173	19.630000	0.000986
25.754190	20.020000	0.000996
26.018198	20.210000	0.000993
26.276254	20.240000	0.001001
26.526213	20.610000	0.001013
26.776499	20.630000	0.001029
27.026259	21.010000	0.001042
27.276287	21.030000	0.001051
27.526317	21.410000	0.001064
27.790937	21.610000	0.001060
28.050193	21.640000	0.001074
28.299349	22.010000	0.001083
28.549601	22.030000	0.001099
28.799367	22.420000	0.001114
29.049499	22.440000	0.001122
29.299419	22.810000	0.001132
29.563447	23.020000	0.001144
29.813407	23.040000	0.001139
30.063972	23.420000	0.001153
30.313781	23.550000	0.001163
30.573450	23.810000	0.001171
30.823735	23.840000	0.001186
31.073749	24.220000	0.001199
31.323826	24.240000	0.001214
31.573528	24.620000	0.001222
31.823570	24.820000	0.001232
32.088069	24.950000	0.001237
32.347189	25.210000	0.001242
32.596624	25.240000	0.001253
32.846859	25.620000	0.001268
33.096607	25.640000	0.001279
33.346623	26.010000	0.001289
33.596641	26.210000	0.001302
33.861372	26.350000	0.001302
34.120580	26.610000	0.001313
34.369677	26.750000	0.001326
34.629721	27.010000	0.001334
34.879700	27.030000	0.001338
35.129995	27.420000	0.001360
35.380076	27.440000	0.001374
35.629753	27.820000	0.001380
35.879771	28.020000	0.001388
36.145208	28.140000	0.001391
36.402451	28.420000	0.001403
36.651795	28.440000	0.001412
36.902083	28.810000	0.001426
37.151835	28.830000	0.001441
37.401858	29.220000	0.001450
37.651867	29.420000	0.001459
37.917748	29.540000	0.001462
38.175092	29.820000	0.001470
38.424901	29.840000	0.001478
38.675197	30.220000	0.001497
38.925274	30.250000	0.001512
39.174961	30.610000	0.001521
39.424972	30.810000	0.001529
39.689446	30.950000	0.001530
39.948724	31.220000	0.001538
40.198000	31.240000	0.001551
40.448285	31.610000	0.001567
40.698042	31.640000	0.001580
40.948084	32.020000	0.001590
41.198097	32.220000	0.001605
41.462717	32.420000	0.001607
41.731964	32.620000	0.001615
41.989598	32.640000	0.001618
42.239116	33.020000	0.001631
42.489421	33.040000	0.001647
42.739156	33.420000	0.001661
42.989170	33.440000	0.001665
43.239203	33.820000	0.001682
43.503454	34.020000	0.001686
43.753215	34.220000	0.001699
44.003246	34.340000	0.001712
44.253243	34.610000	0.001714
44.503528	34.630000	0.001724
44.753296	35.020000	0.001740
45.004637	35.150000	0.001750
45.253305	35.420000	0.001759
45.503315	35.550000	0.001765
45.753332	35.810000	0.001770
46.003567	35.830000	0.001785
46.253364	36.210000	0.001796
46.503693	36.410000	0.001808
46.753393	36.610000	0.001821
47.020731	36.740000	0.001815
47.279209	37.020000	0.001828
47.528422	37.030000	0.001837
47.778447	37.420000	0.001855
48.031108	37.440000	0.001860
48.280465	37.820000	0.001870
48.530741	37.840000	0.001886
48.780505	38.220000	0.001899
49.030523	38.240000	0.001906
49.280538	38.620000	0.001917
49.545106	38.820000	0.001927
49.813596	38.950000	0.001937
50.072696	39.220000	0.001937
50.322820	39.240000	0.001948
50.572880	39.610000	0.001966
50.822624	39.750000	0.001978
51.072621	40.020000	0.001980
51.323047	40.030000	0.001994
51.572674	40.410000	0.002008
51.822957	40.450000	0.002010
52.072947	40.820000	0.002024
52.322969	40.840000	0.002034
52.572725	41.220000	0.002044
52.822739	41.430000	0.002056
53.089928	41.550000	0.002058
53.348552	41.810000	0.002064
53.597766	41.840000	0.002079
53.847894	42.220000	0.002096
54.098025	42.240000	0.002097
54.347838	42.620000	0.002103
54.598047	42.640000	0.002120
54.848145	43.020000	0.002137
55.097873	43.030000	0.002147
55.347880	43.420000	0.002154
55.615475	43.620000	0.002166
55.882939	43.720000	0.002166
56.141304	44.020000	0.002176
56.390931	44.030000	0.002189
56.641201	44.410000	0.002201
56.890986	44.520000	0.002217
57.140971	44.820000	0.002216
57.390312	44.830000	0.002231
57.640026	45.210000	0.002243
57.890418	45.230000	0.002256
58.140040	45.620000	0.002264
58.407187	45.820000	0.002266
58.665710	45.830000	0.002276
58.915082	46.210000	0.002285
59.165396	46.230000	0.002300
59.415114	46.620000	0.002315
59.665128	46.630000	0.002325
59.915153	47.020000	0.002335
60.179715	47.220000	0.002346
60.429170	47.430000	0.002352
60.679553	47.430000	0.002367
60.929683	47.810000	0.002375
61.179224	47.940000	0.002380
61.431311	48.220000	0.002385
61.681234	48.240000	0.002396
61.931269	48.620000	0.002413
62.181334	48.640000	0.002414
62.431272	49.020000	0.002425
62.681293	49.040000	0.002443
62.931334	49.420000	0.002455
63.181328	49.440000	0.002465
63.431344	49.820000	0.002474
63.697562	50.030000	0.002474
63.957057	50.040000	0.002485
64.206375	50.430000	0.002498
64.456572	50.550000	0.002512
64.706563	50.830000	0.002515
64.956421	50.840000	0.002524
65.206592	51.220000	0.002542
65.456608	51.430000	0.002555
65.706471	51.440000	0.002565
65.956492	51.820000	0.002575
66.221311	52.020000	0.002573
66.480821	52.030000	0.002583
66.730518	52.410000	0.002595
66.980730	52.430000	0.002610
67.230754	52.810000	0.002625
67.480578	52.830000	0.002634
67.730593	53.210000	0.002644
67.994347	53.410000	0.002644
68.253810	53.430000	0.002654
68.503621	53.820000	0.002667
68.753640	53.830000	0.002673
69.003832	54.030000	0.002695
69.253685	54.410000	0.002704
69.503688	54.620000	0.002714
69.766216	54.830000	0.002724
70.034954	55.020000	0.002726
70.294078	55.030000	0.002733
70.543899	55.420000	0.002743
70.793807	55.430000	0.002761
71.043826	55.820000	0.002774
71.293791	55.820000	0.002783
71.543807	56.220000	0.002793
71.807230	56.420000	0.002804
72.056824	56.430000	0.002803
72.307817	56.810000	0.002813
72.557884	56.830000	0.002823
72.807889	57.220000	0.002838
73.057893	57.240000	0.002855
73.307906	57.620000	0.002863
73.557928	57.820000	0.002873
73.821466	57.930000	0.002872
74.080829	58.220000	0.002883
74.329957	58.240000	0.002892
74.580136	58.620000	0.002908
74.829175	58.620000	0.002920
75.079007	59.020000	0.002933
75.329025	59.210000	0.002941
75.594271	59.340000	0.002942
75.853724	59.630000	0.002953
76.103285	59.630000	0.002966
76.353379	60.030000	0.002978
76.603287	60.030000	0.002993
76.853111	60.420000	0.003003
77.103132	60.620000	0.003013
77.366946	60.730000	0.003012
77.626266	61.020000	0.003021
77.876392	61.030000	0.003034
78.126440	61.420000	0.003047
78.376411	61.430000	0.003052
78.626400	61.820000	0.003061
78.888441	61.830000	0.003072
79.138460	62.220000	0.003082
79.388498	62.230000	0.003099
79.638277	62.630000	0.003110
79.888460	62.640000	0.003111
80.138519	63.020000	0.003126
80.388501	63.040000	0.003141
80.638602	63.420000	0.003152
80.888344	63.620000	0.003163
81.154525	63.740000	0.003161
81.411948	64.010000	0.003169
81.661655	64.140000	0.003182
81.922322	64.430000	0.003190
82.171405	64.440000	0.003201
82.421686	64.830000	0.003215
82.671705	64.840000	0.003230
82.921457	65.230000	0.003241
83.171476	65.430000	0.003249
83.436713	65.620000	0.003261
83.705073	65.830000	0.003270
83.954522	66.030000	0.003280
84.204536	66.140000	0.003290
84.454560	66.430000	0.003290
84.704720	66.440000	0.003307
84.954764	66.830000	0.003320
85.204658	66.840000	0.003330
85.454611	67.220000	0.003341
85.718833	67.420000	0.003340
85.978180	67.450000	0.003349
86.227850	67.820000	0.003359
86.477656	67.840000	0.003378
86.727852	68.220000	0.003391
86.977689	68.240000	0.003400
87.227707	68.620000	0.003409
87.491595	68.820000	0.003419
87.740728	68.830000	0.003419
87.991325	69.220000	0.003430
88.240779	69.230000	0.003444
88.490996	69.610000	0.003455
88.741220	69.640000	0.003469
88.990811	70.010000	0.003480
89.240862	70.210000	0.003489
89.505950	70.420000	0.003499
89.755848	70.620000	0.003499
90.005871	70.630000	0.003509
90.255882	71.020000	0.003519
90.506118	71.030000	0.003536
90.756166	71.430000	0.003549
91.005925	71.440000	0.003559
91.255945	71.820000	0.003570
91.520591	72.020000	0.003579
91.789087	72.140000	0.003579
92.047225	72.420000	0.003589
92.295992	72.440000	0.003602
92.546243	72.820000	0.003615
92.796304	72.840000	0.003628
93.046046	73.220000	0.003640
93.296057	73.430000	0.003647
93.561437	73.630000	0.003658
93.811096	73.640000	0.003666
94.061098	74.020000	0.003680
94.311105	74.040000	0.003688
94.561130	74.420000	0.003700
94.824332	74.630000	0.003700
