Time [s]	Current [A]	Voltage [V]	
1.338923	0.000000	-0.099692
1.573935	0.000000	-0.115644
1.849765	0.000000	-0.085615
2.074529	0.000000	-0.126700
2.315732	1.210000	-0.197782
2.558990	1.230000	-0.275539
2.800122	1.610000	-0.346099
3.043124	1.620000	-0.411589
3.283759	2.010000	-0.472115
3.526535	2.020000	-0.528541
3.768412	2.410000	-0.582415
4.010009	2.420000	-0.637937
4.251776	2.810000	-0.694593
4.492521	2.820000	-0.754048
4.734345	3.200000	-0.817525
4.975972	3.230000	-0.882503
5.218263	3.610000	-0.950844
5.460778	3.740000	-1.016374
5.702382	4.010000	-1.062080
5.943112	4.140000	-1.102510
6.184372	4.410000	-1.137887
6.427379	4.430000	-1.158549
6.667528	4.810000	-1.187736
6.909613	4.830000	-0.040556
7.145497	5.210000	-0.131572
7.421014	5.230000	-0.218494
7.661138	5.610000	-0.285953
7.903345	5.730000	-0.347023
8.144944	6.010000	-0.400105
8.386499	6.130000	-0.457228
8.629806	6.410000	-0.513999
8.869884	6.430000	-0.573798
9.111708	6.810000	-0.635787
9.338240	6.940000	-0.708043
9.623040	7.210000	-0.774628
9.863956	7.230000	-0.822602
10.089997	7.620000	-0.862824
10.333880	7.820000	-0.929381
10.599636	8.020000	-1.001627
10.843999	8.220000	-1.039322
11.109588	8.420000	-1.080489
11.367392	8.440000	-1.125238
11.612955	8.820000	-1.151513
11.850902	8.840000	-1.180317
12.092392	9.210000	-0.203186
12.334379	9.240000	-0.286764
12.577016	9.600000	-0.343042
12.817505	9.630000	-0.420198
13.060327	10.010000	-0.481317
