Time [s]	Current [A]	Voltage [V]	
0.796588	0.000000	-0.388802
1.024850	0.000000	-0.483096
1.251925	0.000000	-0.566680
1.477608	1.010000	-0.661901
1.735348	1.210000	-0.753103
1.977132	1.410000	-0.839993
2.242748	1.520000	-0.945771
2.500726	1.810000	-1.019328
2.742224	1.830000	-1.097411
2.984019	2.210000	-1.145114
3.225673	2.220000	-1.183626
3.467480	2.610000	-0.169988
3.710556	2.620000	-0.259244
3.952360	3.010000	-0.347918
4.193347	3.020000	-0.416513
4.435606	3.410000	-0.492990
4.668952	3.530000	-0.584633
4.944598	3.810000	-0.673849
5.186110	3.820000	-0.746964
5.428018	4.220000	-0.804583
5.669578	4.230000	-0.869981
5.911425	4.610000	-0.937643
6.154687	4.630000	-1.011758
6.394872	5.000000	-1.073169
6.621657	5.130000	-1.125382
6.878349	5.420000	-1.155751
7.119981	5.540000	-1.196096
7.361994	5.810000	-0.356443
7.603537	5.930000	-0.437565
7.845334	6.210000	-0.511514
8.088040	6.230000	-0.566095
8.328808	6.610000	-0.635238
8.571573	6.620000	-0.708254
8.806016	7.010000	-0.786087
9.080740	7.030000	-0.864687
9.322209	7.410000	-0.931952
9.564103	7.540000	-0.980734
9.806020	7.820000	-1.039161
10.047757	7.940000	-1.087741
10.290572	8.220000	-1.129707
10.532352	8.350000	-1.169823
10.772963	8.610000	-1.198654
11.015527	8.640000	-0.450233
11.257305	9.010000	-0.527618
11.499078	9.040000	-0.593416
11.740712	9.420000	-0.650134
11.981574	9.440000	-0.710905
12.223211	9.810000	-0.772936
12.464972	9.840000	-0.835916
